Customer ID,Gender,Age,Tenure in Months,Internet Type,Contract,Payment Method,Monthly Charge,Total Charges,Customer Status
0237-YFUTL,Female,62,50,Fiber Optic,Month-to-Month,Bank Withdrawal,109.65,5405.8,Stayed
0238-WHBIQ,Male,25,72,Cable,Two Year,Credit Card,89.7,6339.3,Stayed
0239-OXEXL,Female,37,46,Fiber Optic,Month-to-Month,Credit Card,84.25,3847.6,Stayed
0244-LGNFY,Female,35,72,DSL,Two Year,Bank Withdrawal,92.65,6733,Stayed
0247-SLUJI,Male,37,1,,Month-to-Month,Credit Card,19.7,19.7,Joined
0248-IPDFW,Female,19,1,Cable,Month-to-Month,Bank Withdrawal,50.1,50.1,Joined
0248-PGHBZ,Female,69,67,Fiber Optic,Two Year,Bank Withdrawal,92.45,6140.85,Stayed
0253-ZTEOB,Female,44,48,DSL,Two Year,Bank Withdrawal,79.65,3870.3,Stayed
0254-FNMCI,Female,19,72,Fiber Optic,Two Year,Bank Withdrawal,109.9,7624.2,Stayed
0254-KCJGT,Male,64,52,Cable,One Year,Credit Card,81.4,4354.45,Stayed
0254-WWRKD,Female,44,67,Cable,One Year,Credit Card,50.55,3431.75,Stayed
0256-LTHVJ,Female,58,28,Fiber Optic,Month-to-Month,Bank Withdrawal,81.05,2227.1,Churned
0257-KXZGU,Female,29,32,DSL,Month-to-Month,Bank Withdrawal,62.45,2045.55,Stayed
0257-ZESQC,Female,80,27,Cable,Month-to-Month,Bank Withdrawal,75.2,1929.35,Churned
0258-NOKBL,Male,22,3,Fiber Optic,Month-to-Month,Bank Withdrawal,90.4,268.45,Joined
0259-GBZSH,Male,22,2,Cable,Month-to-Month,Bank Withdrawal,85.65,181.5,Churned
0260-ZDLGK,Female,50,9,Cable,Month-to-Month,Credit Card,72.9,651.4,Churned
0263-FJTQO,Male,53,50,Cable,Two Year,Credit Card,70.5,3486.65,Stayed
0264-CNITK,Female,45,71,,Two Year,Bank Withdrawal,20.1,1389.6,Stayed
0265-EDXBD,Male,76,32,Fiber Optic,Month-to-Month,Bank Withdrawal,74.9,2303.35,Churned
0265-PSUAE,Female,57,16,Fiber Optic,Month-to-Month,Bank Withdrawal,100.7,1522.7,Stayed
0266-CLZKZ,Female,45,67,Fiber Optic,Two Year,Bank Withdrawal,105.65,6717.9,Stayed
0266-GMEAO,Male,43,72,Fiber Optic,Two Year,Credit Card,114.3,8058.55,Stayed
0268-QKIWO,Female,41,3,,Month-to-Month,Bank Withdrawal,19.75,58.85,Churned
0269-XFESX,Male,22,23,,One Year,Credit Card,24.35,538.5,Stayed
0270-THENM,Male,62,72,DSL,Two Year,Bank Withdrawal,69.85,5102.35,Stayed
0274-JKUJR,Male,21,7,Cable,Month-to-Month,Credit Card,-3,465.7,Stayed
0277-BKSQP,Male,49,8,DSL,Month-to-Month,Bank Withdrawal,54.4,475.1,Stayed
0277-ORXQS,Male,33,66,Cable,Two Year,Bank Withdrawal,50.55,3364.55,Stayed
0278-YXOOG,Male,30,5,,Month-to-Month,Credit Card,21.05,113.85,Churned
0280-XJGEX,Male,38,49,Fiber Optic,Month-to-Month,Bank Withdrawal,103.7,5036.3,Churned
0281-CNTZX,Male,56,63,,Two Year,Bank Withdrawal,19.95,1234.8,Stayed
0282-NVSJS,Female,70,12,DSL,Month-to-Month,Mailed Check,29.3,355.9,Stayed
0285-INHLN,Male,54,27,DSL,Month-to-Month,Credit Card,54.75,1510.3,Stayed
0289-IVARM,Female,57,35,DSL,Month-to-Month,Bank Withdrawal,60.55,1982.6,Stayed
0292-WEGCH,Female,40,54,DSL,Month-to-Month,Bank Withdrawal,86.2,4524.05,Stayed
0295-PPHDO,Male,56,1,Fiber Optic,Month-to-Month,Bank Withdrawal,95.45,95.45,Churned
0295-QVKPB,Male,38,5,DSL,Month-to-Month,Credit Card,63.95,318.1,Stayed
0297-RBCSG,Male,61,19,DSL,One Year,Bank Withdrawal,65.35,1231.85,Stayed
0298-XACET,Male,35,52,DSL,Two Year,Credit Card,50.2,2554,Stayed
0301-FIDRB,Female,61,72,DSL,Two Year,Bank Withdrawal,63.8,4684.3,Stayed
0301-KOBTQ,Male,50,32,,Two Year,Bank Withdrawal,20.05,614.45,Stayed
0302-JOIVN,Female,47,8,Fiber Optic,Month-to-Month,Bank Withdrawal,101.15,842.9,Churned
0303-UNCIP,Male,35,41,DSL,One Year,Mailed Check,65,2531.8,Stayed
0303-WMMRN,Male,32,5,,Month-to-Month,Credit Card,19.25,86.05,Stayed
0305-SQECB,Female,54,11,DSL,One Year,Credit Card,36.05,402.6,Stayed
0306-JAELE,Male,61,5,Fiber Optic,Month-to-Month,Bank Withdrawal,96.1,453.4,Churned
0307-BCOPK,Female,62,16,,One Year,Credit Card,19.05,326.65,Stayed
0308-GIQJT,Male,80,71,Fiber Optic,One Year,Bank Withdrawal,105.75,7382.85,Stayed
0308-IVGOK,Female,23,11,DSL,One Year,Credit Card,40.4,422.6,Stayed
0310-MVLET,Female,63,61,Fiber Optic,Month-to-Month,Bank Withdrawal,99.15,6010.05,Churned
0310-SUCIN,Female,50,71,Cable,One Year,Bank Withdrawal,84.8,6046.1,Stayed
0310-VQXAM,Male,56,9,,Month-to-Month,Credit Card,19.85,178.8,Stayed
0311-QYWSS,Female,63,6,DSL,Month-to-Month,Bank Withdrawal,49.45,314.6,Stayed
0311-UNPFF,Female,58,26,Fiber Optic,Month-to-Month,Bank Withdrawal,88.8,2274.35,Churned
0314-TKOSI,Female,29,6,Cable,Month-to-Month,Mailed Check,55.15,322.9,Stayed
0315-LVCRK,Male,54,11,Fiber Optic,Month-to-Month,Bank Withdrawal,84.8,888.75,Stayed
0318-QUUOB,Male,25,1,Fiber Optic,Month-to-Month,Bank Withdrawal,80.55,80.55,Churned
0318-ZOPWS,Female,31,49,,Two Year,Bank Withdrawal,20.15,973.35,Stayed
0319-QZTCO,Female,25,3,DSL,Month-to-Month,Credit Card,58.7,168.6,Joined
0320-DWVTU,Female,46,53,Fiber Optic,Two Year,Credit Card,99.5,5424.25,Stayed
0320-JDNQG,Male,28,23,Fiber Optic,Month-to-Month,Bank Withdrawal,99.85,2331.3,Churned
0322-CHQRU,Male,63,2,DSL,Month-to-Month,Bank Withdrawal,45.35,89.5,Churned
0322-YINQP,Male,37,1,DSL,Month-to-Month,Credit Card,48.55,48.55,Churned
0323-XWWTN,Male,44,3,,Two Year,Credit Card,26.4,121.25,Joined
0324-BRPCJ,Female,74,68,Cable,Month-to-Month,Bank Withdrawal,100.2,6851.65,Churned
0325-XBFAC,Male,44,8,Fiber Optic,Month-to-Month,Bank Withdrawal,94.7,740.3,Churned
0326-VDYXE,Female,21,70,Fiber Optic,One Year,Bank Withdrawal,97.65,6982.5,Stayed
0327-WFZSY,Male,62,39,Fiber Optic,One Year,Bank Withdrawal,100,3835.55,Stayed
0328-GRPMV,Female,43,1,Fiber Optic,Month-to-Month,Bank Withdrawal,70.1,70.1,Churned
0329-GTIAJ,Female,40,3,Fiber Optic,Month-to-Month,Bank Withdrawal,97.9,315.3,Churned
0330-BGYZE,Male,48,60,Fiber Optic,One Year,Bank Withdrawal,102.5,6157.6,Stayed
0330-IVZHA,Female,55,5,Fiber Optic,Month-to-Month,Bank Withdrawal,69.95,330.15,Churned
0334-GDDSO,Male,77,3,Fiber Optic,Month-to-Month,Bank Withdrawal,81.35,233.7,Churned
0334-ZFJSR,Female,41,55,Cable,One Year,Credit Card,66.05,3462.1,Stayed
0336-KXKFK,Male,43,72,DSL,Two Year,Credit Card,61.2,4390.25,Stayed
0336-PIKEI,Male,69,72,DSL,Two Year,Bank Withdrawal,74.4,5360.75,Stayed
0337-CNPZE,Female,63,41,Fiber Optic,Month-to-Month,Bank Withdrawal,106.3,4443.45,Churned
0343-QLUZP,Male,38,60,DSL,Two Year,Bank Withdrawal,39.6,2424.5,Stayed
0345-HKJVM,Female,43,6,Fiber Optic,Month-to-Month,Bank Withdrawal,89.3,577.6,Churned
0345-XMMUG,Female,29,46,Fiber Optic,Two Year,Credit Card,108.9,4854.3,Stayed
0347-UBKUZ,Female,46,15,,Month-to-Month,Mailed Check,19.9,320.45,Stayed
0348-SDKOL,Female,33,58,Fiber Optic,Month-to-Month,Credit Card,102.1,5885.4,Churned
0354-VXMJC,Male,60,23,,Two Year,Credit Card,19.6,426.65,Stayed
0354-WYROK,Female,70,31,Fiber Optic,Month-to-Month,Bank Withdrawal,98.9,2911.3,Churned
0356-ERHVT,Male,54,11,Cable,Month-to-Month,Bank Withdrawal,45.9,521.9,Stayed
0356-OBMAC,Female,80,56,Fiber Optic,Two Year,Bank Withdrawal,99.9,5706.3,Stayed
0357-NVCRI,Female,41,25,,Month-to-Month,Credit Card,20.05,471.7,Stayed
0361-HJRDX,Female,38,68,DSL,Two Year,Credit Card,-8,4539.6,Stayed
0362-RAOQO,Female,48,40,,Two Year,Credit Card,19.65,830.25,Stayed
0362-ZBZWJ,Male,46,36,Fiber Optic,Month-to-Month,Bank Withdrawal,84.9,3067.2,Churned
0363-QJVFX,Male,22,32,Fiber Optic,Month-to-Month,Credit Card,108.15,3432.9,Churned
0363-SVHYR,Male,28,71,DSL,Two Year,Bank Withdrawal,86.85,6263.8,Stayed
0365-BZUWY,Male,58,17,Fiber Optic,Month-to-Month,Bank Withdrawal,102.55,1742.5,Stayed
0365-GXEZS,Male,55,18,Fiber Optic,Month-to-Month,Bank Withdrawal,78.2,1468.75,Stayed
0365-TRTPY,Female,52,37,Fiber Optic,Month-to-Month,Bank Withdrawal,91.2,3382.3,Stayed
0366-NQSHS,Male,42,2,,Month-to-Month,Credit Card,19.35,46.35,Joined
0369-ZGOVK,Female,56,28,Fiber Optic,One Year,Bank Withdrawal,70.4,1992.2,Stayed
0373-AIVNJ,Male,34,9,Cable,One Year,Credit Card,39.55,373,Stayed
0374-AACSZ,Female,63,1,DSL,Month-to-Month,Bank Withdrawal,50.15,50.15,Joined
0374-FIUCA,Male,59,65,,Two Year,Credit Card,20.4,1414.45,Stayed
0374-IOEGQ,Female,62,3,Cable,Month-to-Month,Bank Withdrawal,44.6,122.7,Joined
0375-HVGXO,Female,31,1,DSL,Month-to-Month,Bank Withdrawal,34.7,34.7,Churned
0376-OIWME,Male,24,36,Fiber Optic,Month-to-Month,Bank Withdrawal,93.6,3366.05,Stayed
0376-YMCJC,Male,21,23,Cable,Month-to-Month,Bank Withdrawal,90.6,1943.2,Churned
0377-JBKKT,Male,21,22,DSL,Month-to-Month,Credit Card,57.95,1271.8,Stayed
0378-CJKPV,Female,56,72,Fiber Optic,Two Year,Credit Card,112.1,7965.95,Stayed
0378-NHQXU,Female,31,17,Fiber Optic,Month-to-Month,Bank Withdrawal,88.25,1460.65,Churned
0378-TOVMS,Female,20,3,Fiber Optic,Month-to-Month,Bank Withdrawal,85.8,272.2,Churned
0378-XSZPU,Male,31,58,Cable,One Year,Credit Card,60.3,3563.8,Churned
0379-DJQHR,Male,60,67,DSL,Two Year,Credit Card,81.35,5398.6,Stayed
0380-NEAVX,Male,72,34,Fiber Optic,One Year,Bank Withdrawal,99.85,3343.15,Stayed
0380-ZCSBI,Male,56,10,,Month-to-Month,Credit Card,20,198.7,Stayed
0383-CLDDA,Female,42,69,DSL,Two Year,Credit Card,85.35,5897.4,Stayed
0384-LPITE,Male,38,40,Cable,One Year,Credit Card,62.05,2511.55,Stayed
0384-RVBPI,Male,64,20,DSL,Month-to-Month,Credit Card,64.4,1398.6,Stayed
0386-CWRGM,Female,61,46,,Two Year,Credit Card,19.4,967.85,Stayed
0388-EOPEX,Female,28,2,Fiber Optic,Month-to-Month,Bank Withdrawal,74.4,139.4,Churned
0390-DCFDQ,Female,76,1,Fiber Optic,Month-to-Month,Mailed Check,70.45,70.45,Churned
0392-BZIUW,Female,44,72,Fiber Optic,Two Year,Credit Card,105,7589.8,Stayed
0394-YONDK,Male,28,70,,Two Year,Credit Card,25.15,1790.15,Stayed
0396-HUJBP,Female,34,2,,Month-to-Month,Credit Card,19.3,44.4,Joined
0396-UKGAI,Male,25,23,DSL,Month-to-Month,Bank Withdrawal,55.3,1284.2,Stayed
0396-YCHWO,Male,58,36,Fiber Optic,Month-to-Month,Bank Withdrawal,95.4,3474.2,Stayed
0397-GZBBC,Male,70,59,Fiber Optic,Month-to-Month,Bank Withdrawal,93.85,5574.75,Churned
0397-ZXWQF,Male,24,67,,Two Year,Bank Withdrawal,20.5,1430.95,Stayed
0401-WDBXM,Male,22,72,Fiber Optic,Two Year,Bank Withdrawal,105.55,7542.25,Stayed
0402-CQAJN,Female,22,37,Fiber Optic,Month-to-Month,Bank Withdrawal,101.9,3545.35,Churned
0402-OAMEN,Female,36,72,,Two Year,Bank Withdrawal,24.45,1709.1,Stayed
0404-AHASP,Male,23,72,,Two Year,Credit Card,19.7,1421.9,Stayed
0404-SWRVG,Male,21,3,Fiber Optic,Month-to-Month,Bank Withdrawal,74.4,229.55,Churned
0406-BPDVR,Female,75,54,Fiber Optic,One Year,Credit Card,101.5,5373.1,Churned
0407-BDJKB,Male,59,60,Fiber Optic,Month-to-Month,Bank Withdrawal,95.75,5742.9,Churned
0409-WTMPL,Female,35,58,Fiber Optic,One Year,Credit Card,110.65,6526.65,Stayed
0410-IPFTY,Female,64,31,Fiber Optic,Month-to-Month,Bank Withdrawal,83.85,2674.15,Stayed
0411-EZJZE,Female,62,3,DSL,Month-to-Month,Bank Withdrawal,60.25,170.5,Joined
0412-UCCNP,Male,20,55,DSL,Two Year,Bank Withdrawal,59.2,3175.85,Stayed
